order_id,order_date,ship_date,delivery_date,order_status,customer_id,customer_name,country,state,city,product_id,product_name,category,sub_category,brand,quantity,unit_price,payment_method,gender,age,total_sales
A10032,21-12-2026,28-06-2026,19-08-2026,Delivered,C8538,Paige Williams,India,Rhode Island,Davisburgh,P308,who,Electronics,Laptop,Day-Novak,5,38954,COD,Male,51,194769
A10033,11-12-2026,06-09-2026,24-02-2026,Delivered,C8881,Stephen Smith,India,New Jersey,Kristiebury,P720,environment,Electronics,Laptop,Luna-Rosales,2,32719,Card,Male,44,65437
A10034,11-09-2026,23-04-2026,14-06-2026,Delivered,C5483,Christine Hartman,India,Texas,South Samanthaside,P872,authority,Home,Furniture,Adkins Inc,4,49096,Card,Male,25,196383
A10035,05-01-2026,01-09-2026,22-11-2026,Delivered,C4205,Randall Williams,India,Nebraska,Penningtonborough,P584,coach,Fashion,Footwear,"Horton, Schmidt and Jones",5,15493,Card,Male,52,77467
A10036,17-08-2026,10-03-2026,22-07-2026,Delivered,C5260,Jeffrey Zhang,India,Nevada,Lake Jennystad,P559,town,Home,Kitchen,"Lindsey, Owen and Mcknight",5,23968,UPI,Male,31,119840
A10037,29-09-2026,13-11-2026,10-05-2026,Delivered,C6017,Christina Arnold,India,Rhode Island,Ricefurt,P127,look,Fashion,Clothing,Jacobs LLC,1,33163,Card,Female,29,33163
A10038,23-06-2026,01-12-2026,20-04-2026,Delivered,C4061,Molly Miranda,India,New Mexico,Teresahaven,P331,computer,Fashion,Footwear,Norton Inc,2,44335,UPI,Female,36,88671
A10039,01-10-2026,07-09-2026,17-02-2026,Delivered,C9061,Kathleen Cox,India,Mississippi,Thomasshire,P730,bed,Fashion,Footwear,Martinez-Myers,5,45342,Card,Female,59,226711
A10040,29-09-2026,05-10-2026,15-11-2026,Delivered,C1549,Michael Hall,India,West Virginia,Michaelbury,P147,sign,Fashion,Clothing,Ford Group,5,32604,UPI,Male,23,163022
A10041,16-12-2026,18-04-2026,19-09-2026,Delivered,C3074,James Goodman,India,New Mexico,West Nancymouth,P970,car,Electronics,Accessories,"Adams, Holder and Smith",3,44612,COD,Male,33,133837
A10042,11-03-2026,16-06-2026,26-01-2026,Delivered,C9843,Patrick Callahan,India,Kansas,Edwardshire,P870,still,Home,Kitchen,"Morrow, Dunn and Vang",2,37565,UPI,Female,57,75131
A10043,23-09-2026,19-10-2026,22-05-2026,Delivered,C9457,Marie Scott PhD,India,Kansas,South Tarastad,P873,mother,Electronics,Laptop,Bell Ltd,1,37405,COD,Male,40,37405
A10044,16-02-2026,03-04-2026,16-10-2026,Delivered,C5410,Tara Vang,India,Rhode Island,Mikaylastad,P182,back,Electronics,Laptop,"Ray, Carr and Peterson",5,45131,NetBanking,Female,60,225653
A10045,02-12-2026,28-12-2026,04-12-2026,Delivered,C5749,Tiffany Simpson PhD,India,Pennsylvania,Smithfort,P757,then,Home,Furniture,Wilson-Benson,2,48196,NetBanking,Male,21,96392
A10046,26-03-2026,17-12-2026,17-07-2026,Delivered,C1779,Michelle Ball,India,North Dakota,Watsonside,P884,have,Electronics,Laptop,Williams-Perry,5,43401,Card,Male,50,217003
A10047,02-08-2026,06-01-2026,24-02-2026,Delivered,C7431,Tony Rogers,India,New Mexico,Woodsville,P519,shoulder,Home,Furniture,"Jordan, Glenn and Larson",4,33677,COD,Male,33,134708
A10048,19-11-2026,23-09-2026,10-09-2026,Delivered,C9990,Felicia Garcia,India,Vermont,Randytown,P610,rest,Fashion,Clothing,"Henderson, Woods and Williams",1,27358,COD,Male,28,27358
A10049,26-01-2026,01-05-2026,13-11-2026,Delivered,C7999,Haley Arroyo,India,Arizona,Kramerview,P865,hospital,Fashion,Footwear,"Gonzalez, Morales and Stone",4,6285,UPI,Male,55,25140
A10050,22-06-2026,14-10-2026,22-05-2026,Delivered,C4790,Kevin Allen Jr.,India,Colorado,Williamsview,P646,stuff,Fashion,Footwear,Barnett-Haynes,4,20838,NetBanking,Female,18,83352
A10051,12-03-2026,20-08-2026,09-04-2026,Delivered,C8291,Melissa Sharp,India,Minnesota,Port Marc,P996,professional,Fashion,Clothing,"Woods, Wood and Ray",4,39983,UPI,Female,39,159934
A10052,19-12-2026,06-03-2026,14-09-2026,Delivered,C5780,Nicholas Rivera,India,Connecticut,Sabrinachester,P556,local,Fashion,Clothing,Reed Ltd,2,19749,NetBanking,Male,56,39498
A10053,19-04-2026,07-04-2026,24-06-2026,Delivered,C5678,Melissa Kramer,India,Massachusetts,Toddmouth,P811,both,Home,Furniture,"Pena, Hernandez and Jones",3,15173,COD,Male,20,45520
A10054,01-07-2026,07-11-2026,24-08-2026,Delivered,C9103,Calvin Good,India,Delaware,Smithville,P522,bit,Home,Kitchen,"Holder, Ruiz and Rogers",2,27976,NetBanking,Male,21,55952
A10055,21-05-2026,19-08-2026,05-01-2026,Delivered,C7427,Ryan Lang,India,South Carolina,Maryville,P621,structure,Home,Furniture,"Thompson, Vincent and Fischer",3,40954,Card,Male,47,122862
A10056,27-08-2026,10-12-2026,16-04-2026,Delivered,C8942,Katie Jones,India,Texas,Amandashire,P224,service,Home,Furniture,Mitchell-Smith,5,19711,Card,Male,39,98554
A10057,30-01-2026,30-01-2026,07-10-2026,Delivered,C6760,Zachary Lang,India,Arkansas,Ramirezberg,P111,line,Home,Kitchen,Mcneil Group,4,31801,Card,Female,43,127204
A10058,06-05-2026,23-04-2026,30-11-2026,Delivered,C9162,Krista Johnson,India,North Carolina,South Johnmouth,P308,whom,Fashion,Footwear,Watkins PLC,2,34667,COD,Male,30,69334
A10059,15-04-2026,05-07-2026,09-11-2026,Delivered,C2435,Theresa Obrien,India,Washington,South Dianeview,P173,he,Fashion,Footwear,"Mayo, Murray and Griffin",4,23388,Card,Female,33,93550
A10060,18-09-2026,09-04-2026,26-10-2026,Delivered,C3433,Brooke Johnson,India,Vermont,Lake Jeffreyhaven,P277,choice,Fashion,Footwear,Johnson-Smith,4,45174,Card,Female,50,180695
A10061,01-05-2026,31-10-2026,14-04-2026,Delivered,C9715,Danny Hart,India,Iowa,East Josephborough,P135,realize,Electronics,Laptop,"Duran, Waters and Wilson",1,48746,COD,Female,33,48746
A10062,08-03-2026,05-08-2026,08-01-2026,Delivered,C6440,Steven Simmons,India,Missouri,North Johnny,P368,single,Fashion,Clothing,Chan-Combs,3,47209,NetBanking,Female,63,141626
A10063,17-08-2026,04-01-2026,31-10-2026,Delivered,C8691,Donna Walsh,India,Arizona,Martinezport,P355,process,Fashion,Footwear,Williams-Carlson,4,39403,UPI,Female,22,157614
A10064,08-06-2026,17-07-2026,01-10-2026,Delivered,C1421,Toni Lopez,India,California,Lake Brianmouth,P479,guy,Fashion,Footwear,Patterson PLC,1,10337,NetBanking,Female,20,10337
A10065,07-06-2026,02-02-2026,11-04-2026,Delivered,C6075,Teresa Summers,India,Colorado,North Matthew,P661,house,Home,Furniture,"Lewis, Bishop and Smith",2,34135,COD,Male,37,68271
A10066,15-11-2026,03-09-2026,28-04-2026,Delivered,C1156,Julie Andersen,India,Rhode Island,Greenehaven,P884,challenge,Electronics,Accessories,English PLC,1,7373,Card,Male,35,7373
A10067,10-01-2026,25-11-2026,18-11-2026,Delivered,C9749,Darryl Ramirez,India,Wyoming,West Adammouth,P728,customer,Home,Kitchen,"Harris, Spence and Hoover",3,33032,COD,Female,62,99097
A10068,23-09-2026,07-04-2026,24-10-2026,Delivered,C9187,Zachary Jones,India,Alaska,Carolberg,P389,call,Electronics,Accessories,"Wilson, Wallace and Dean",3,46262,Card,Male,52,138786
A10069,24-01-2026,17-10-2026,11-02-2026,Delivered,C2089,Patrick Stevens,India,Virginia,Bryanmouth,P844,hospital,Fashion,Clothing,Hudson Group,2,42174,UPI,Female,40,84347
A10070,29-06-2026,18-01-2026,24-08-2026,Delivered,C9659,Elizabeth Guerra,India,Colorado,Shannonview,P791,hit,Electronics,Mobile,Thomas PLC,5,19513,Card,Male,34,97566
A10071,29-05-2026,24-05-2026,20-07-2026,Delivered,C3053,Katherine Wiggins,India,California,Valenciaville,P484,mention,Electronics,Mobile,Jones-Lewis,5,48263,COD,Male,60,241313
A10072,21-01-2026,17-08-2026,08-02-2026,Delivered,C1833,Lance Smith,India,Louisiana,West Janetville,P520,forget,Home,Kitchen,Holt Ltd,1,46401,UPI,Female,29,46401
A10073,22-04-2026,14-12-2026,18-05-2026,Delivered,C3373,Stephanie Russell,India,New York,Snowview,P873,American,Electronics,Accessories,Smith-Jefferson,5,7927,COD,Male,59,39633
A10074,13-08-2026,11-04-2026,29-05-2026,Delivered,C3889,Catherine Ramos,India,Oklahoma,North Sarah,P574,guy,Electronics,Accessories,Hopkins-Harrington,3,43810,Card,Female,30,131429
A10075,06-09-2026,05-02-2026,11-05-2026,Delivered,C7562,Amber Boyd,India,Delaware,East Sandra,P318,produce,Fashion,Footwear,Santiago LLC,3,12235,UPI,Female,64,36706
A10076,04-11-2026,01-10-2026,15-10-2026,Delivered,C8868,Donna Rice,India,Montana,South Heatherstad,P430,recently,Electronics,Mobile,Berry Group,2,49895,UPI,Female,30,99790
A10077,17-02-2026,31-12-2026,15-01-2026,Delivered,C3225,Michael Atkinson,India,Nevada,Hessfurt,P903,threat,Electronics,Accessories,White-Bell,5,43217,NetBanking,Female,40,216084
A10078,19-04-2026,19-07-2026,23-08-2026,Delivered,C8939,Kristi Powell,India,Florida,New Christianburgh,P491,resource,Home,Furniture,Dillon Inc,4,17909,UPI,Male,50,71635
A10079,31-08-2026,09-08-2026,30-08-2026,Delivered,C1271,Chloe Gordon,India,Louisiana,Stewartfort,P322,focus,Fashion,Footwear,Joseph LLC,5,15963,COD,Female,30,79813
A10080,15-12-2026,03-01-2026,09-05-2026,Delivered,C8041,Kevin Stewart,India,Minnesota,Elizabethstad,P227,middle,Home,Furniture,Ramirez and Sons,5,42671,NetBanking,Male,50,213356
A10081,24-03-2026,11-01-2026,25-12-2026,Delivered,C8500,Gregory Atkinson,India,Wisconsin,Phillipsport,P848,free,Home,Kitchen,Kim Group,2,19035,UPI,Female,53,38069
A10082,14-10-2026,22-03-2026,26-05-2026,Delivered,C8501,David Taylor,India,Arizona,South Robert,P594,but,Fashion,Clothing,"Barnett, Carroll and Bates",4,457,UPI,Male,44,1828
A10083,12-03-2026,14-01-2026,02-03-2026,Delivered,C4385,Nicole Buchanan,India,Massachusetts,Lake Jillburgh,P361,charge,Fashion,Clothing,Robinson-Scott,3,28427,COD,Female,22,85282
A10084,11-01-2026,18-03-2026,01-02-2026,Delivered,C9389,Ashley Powell,India,New Jersey,East Andrew,P971,matter,Fashion,Clothing,"Mcguire, Johnston and Rodriguez",5,8439,NetBanking,Male,32,42194
A10085,30-07-2026,09-07-2026,06-06-2026,Delivered,C7775,Robert Griffin,India,Kansas,Kathymouth,P821,throw,Fashion,Clothing,Bullock-Christensen,5,13146,COD,Female,37,65731
A10086,19-02-2026,09-02-2026,04-06-2026,Delivered,C6412,Tracie Shah,India,Wisconsin,Turnerland,P600,although,Electronics,Laptop,"White, Robertson and Miles",3,37180,COD,Female,38,111540
A10087,02-12-2026,19-03-2026,28-04-2026,Delivered,C6626,Raven Barajas,India,South Dakota,Lake Bryanburgh,P573,hand,Fashion,Clothing,Molina-Griffin,1,2449,UPI,Male,21,2449
A10088,29-06-2026,06-05-2026,28-04-2026,Delivered,C6475,Elizabeth Wood,India,Missouri,Colinstad,P862,beautiful,Home,Furniture,Morgan Inc,2,10366,Card,Male,26,20732
A10089,25-07-2026,05-03-2026,11-01-2026,Delivered,C3275,Deanna Gilbert,India,California,Bennettfort,P121,easy,Home,Kitchen,Garcia-Powers,3,7677,UPI,Female,44,23030
A10090,17-05-2026,19-08-2026,29-05-2026,Delivered,C2401,Michael Barnett,India,North Dakota,Anthonyport,P470,certain,Fashion,Footwear,Smith Ltd,4,6910,COD,Male,32,27639
A10091,08-09-2026,25-04-2026,29-07-2026,Delivered,C6713,Valerie Stanley,India,Georgia,Lake Russellhaven,P907,name,Fashion,Footwear,"Brown, Fox and Anthony",1,27050,Card,Female,20,27050
A10092,08-11-2026,24-09-2026,09-04-2026,Delivered,C4904,Scott Smith,India,Minnesota,Jennifershire,P516,soon,Fashion,Footwear,"Anderson, Hatfield and Collins",4,37990,UPI,Male,42,151961
A10093,06-01-2026,09-07-2026,03-01-2026,Delivered,C9758,Christopher Brown,India,Virginia,Angelicastad,P193,specific,Fashion,Footwear,Moss-Perry,2,14317,NetBanking,Male,20,28635
A10094,01-05-2026,24-07-2026,12-07-2026,Delivered,C2600,Kelsey Carter DVM,India,Vermont,Charlesborough,P571,with,Home,Furniture,Harvey-Johnson,4,27289,COD,Female,54,109157
A10095,08-01-2026,05-02-2026,14-01-2026,Delivered,C2177,Tammy Bowman,India,Vermont,North Johnborough,P446,coach,Fashion,Clothing,Hanson Inc,2,4334,COD,Female,26,8667
A10096,01-07-2026,20-05-2026,17-06-2026,Delivered,C4805,Glenn Walker,India,Texas,Justinborough,P674,window,Fashion,Footwear,Mendez-Clark,4,16203,NetBanking,Male,64,64813
A10097,20-03-2026,29-09-2026,04-08-2026,Delivered,C6937,Kevin Arias,India,New York,Whiteport,P900,all,Electronics,Accessories,Cook PLC,5,15727,Card,Male,22,78637
A10098,13-12-2026,12-06-2026,23-03-2026,Delivered,C4998,Kevin Elliott,India,Rhode Island,North Edward,P167,southern,Electronics,Accessories,Walker-Schroeder,1,4541,UPI,Female,37,4541
A10099,07-06-2026,06-09-2026,25-02-2026,Delivered,C8263,Daniel Richards,India,Alabama,Ashleytown,P979,themselves,Electronics,Mobile,"Schmitt, Cooley and Jenkins",3,41981,UPI,Male,57,125944
A10100,04-01-2026,15-12-2026,01-01-2026,Delivered,C5258,Jacob Flores,India,Louisiana,Ryanside,P244,number,Fashion,Footwear,Matthews-Griffin,1,34735,NetBanking,Female,61,34735
A10101,17-04-2026,20-07-2026,27-08-2026,Delivered,C9020,Martin Liu,India,Kentucky,Lesliefort,P181,standard,Fashion,Footwear,Rose PLC,2,32434,NetBanking,Male,43,64868
A10102,30-04-2026,05-03-2026,11-11-2026,Delivered,C2770,Victor Cummings,India,Louisiana,Tannertown,P803,mouth,Fashion,Clothing,"Garcia, Larson and Murphy",5,43243,UPI,Female,33,216215
A10103,10-01-2026,10-11-2026,07-01-2026,Delivered,C3675,Andrea Walker,India,Michigan,North Michaelmouth,P482,ago,Fashion,Footwear,Esparza-Stanton,5,12347,Card,Male,58,61734
A10104,19-05-2026,20-12-2026,10-01-2026,Delivered,C8752,Tracie Petty,India,South Dakota,Gonzalezport,P467,discussion,Fashion,Clothing,Chambers Group,5,35496,Card,Female,33,177482
A10105,29-10-2026,19-01-2026,04-02-2026,Delivered,C7207,Bruce Bishop,India,Nevada,Amandahaven,P966,feel,Electronics,Mobile,Martin-Parker,3,15159,COD,Male,18,45476
A10106,10-11-2026,24-06-2026,17-03-2026,Delivered,C8351,Jeffrey Palmer,India,Washington,Johnborough,P348,before,Electronics,Accessories,White-Graham,2,19411,COD,Male,62,38822
A10107,13-03-2026,12-12-2026,18-03-2026,Delivered,C5941,Michelle Brown,India,Delaware,Cynthiastad,P613,play,Home,Kitchen,Parker and Sons,4,10630,Card,Male,36,42522
A10108,10-06-2026,10-07-2026,14-01-2026,Delivered,C4715,John Forbes,India,Tennessee,Boydmouth,P182,beyond,Electronics,Accessories,Lewis-Gonzales,1,20194,NetBanking,Female,60,20194
A10109,13-03-2026,27-02-2026,31-01-2026,Delivered,C1583,Jay Holder,India,South Dakota,North Kaitlynmouth,P255,behavior,Electronics,Laptop,Martinez Group,1,45863,NetBanking,Male,32,45863
A10110,02-01-2026,09-10-2026,01-01-2026,Delivered,C9202,Karen Lopez,India,Colorado,West Rachelshire,P358,force,Electronics,Accessories,"Underwood, Baker and Guzman",5,14146,Card,Male,27,70728
A10111,11-11-2026,04-06-2026,18-10-2026,Delivered,C1581,Kelli Phillips,India,Illinois,Jasonberg,P737,maybe,Home,Kitchen,Roberts Inc,2,10238,UPI,Female,43,20477
A10112,13-10-2026,28-01-2026,15-04-2026,Delivered,C2266,Kaylee Davenport,India,Maryland,Kellybury,P888,song,Fashion,Clothing,Lambert-Cook,5,8586,NetBanking,Male,53,42929
A10113,11-09-2026,15-01-2026,02-10-2026,Delivered,C7597,Anthony Boyd,India,Virginia,North Annamouth,P522,it,Electronics,Mobile,Lewis Inc,2,47935,UPI,Male,36,95871
A10114,06-11-2026,28-03-2026,13-09-2026,Delivered,C2290,Megan Wilson,India,New Jersey,Caitlinmouth,P734,control,Electronics,Accessories,Ferguson PLC,4,9668,Card,Female,24,38670
A10115,29-05-2026,24-09-2026,16-01-2026,Delivered,C9996,Joseph Jones,India,Vermont,Carlosland,P991,resource,Fashion,Footwear,Perez-Richardson,2,28921,COD,Male,21,57842
A10116,10-01-2026,09-10-2026,21-07-2026,Delivered,C9051,Brian Miller,India,Nevada,Hernandezview,P595,alone,Home,Kitchen,"Edwards, Dougherty and Ingram",5,2094,UPI,Male,35,10471
A10117,04-04-2026,06-02-2026,10-06-2026,Delivered,C2968,Theodore Smith,India,Arizona,Saunderstown,P785,measure,Electronics,Mobile,"Stevens, Gentry and Harris",4,26211,COD,Female,50,104842
A10118,22-03-2026,26-06-2026,11-01-2026,Delivered,C4400,Scott Lee,India,Arizona,South Sean,P287,these,Home,Furniture,Knight-Scott,5,36147,Card,Female,37,180736
A10119,10-04-2026,06-05-2026,14-03-2026,Delivered,C2754,Patricia Gray,India,Pennsylvania,West Kristatown,P525,style,Home,Kitchen,Hall-Brock,5,30014,UPI,Female,27,150068
A10120,18-12-2026,09-12-2026,19-11-2026,Delivered,C3325,Robert Villarreal,India,Iowa,Lake Hannahshire,P587,major,Electronics,Accessories,"Rodriguez, Flowers and Martinez",1,26186,UPI,Male,52,26186
A10121,02-05-2026,06-11-2026,31-07-2026,Delivered,C3976,John Davis,India,Georgia,Wolfport,P847,rich,Fashion,Footwear,Foster Inc,2,25703,COD,Male,24,51406
A10122,28-06-2026,15-02-2026,04-10-2026,Delivered,C7955,Yolanda Walter,India,Kentucky,South Suzanne,P994,media,Home,Furniture,Elliott Inc,2,43149,UPI,Male,48,86298
A10123,01-05-2026,14-03-2026,10-09-2026,Delivered,C3806,Derek Smith,India,Alaska,Lambburgh,P162,call,Home,Kitchen,"Maldonado, George and Bell",1,14138,NetBanking,Female,31,14138
A10124,05-12-2026,10-09-2026,11-03-2026,Delivered,C9086,Leon Huynh,India,West Virginia,Dicksonside,P347,fill,Electronics,Laptop,Sexton-Leblanc,2,47365,COD,Male,54,94730
A10125,29-08-2026,14-12-2026,09-08-2026,Delivered,C5193,Daniel Anderson,India,Alabama,Port Christina,P321,chair,Home,Furniture,Phillips Inc,1,20882,NetBanking,Male,47,20882
A10126,19-08-2026,10-08-2026,16-11-2026,Delivered,C9669,Daniel Moore,India,Colorado,East Kelly,P846,involve,Electronics,Laptop,Smith PLC,1,46951,UPI,Female,62,46951
A10127,13-03-2026,19-09-2026,10-04-2026,Delivered,C4919,Hannah Garcia,India,Tennessee,Pattonside,P411,off,Home,Furniture,"Brown, Osborne and Rodriguez",4,24597,COD,Female,34,98389
A10128,27-10-2026,22-04-2026,01-09-2026,Delivered,C8042,Mr. Michael Jones,India,Arizona,Livingstonfurt,P852,financial,Fashion,Clothing,"Reeves, Chase and Wright",3,44284,Card,Female,65,132851
A10129,16-01-2026,21-08-2026,01-08-2026,Delivered,C8071,Julia Fisher,India,Alabama,East Glennborough,P410,everyone,Electronics,Mobile,"Brown, Green and Smith",3,16360,COD,Female,47,49080
A10130,24-03-2026,23-01-2026,05-03-2026,Delivered,C4150,Duane Hanson,India,Arizona,Melissamouth,P394,benefit,Home,Kitchen,Mack Inc,2,29573,UPI,Male,29,59147
A10131,13-03-2026,13-05-2026,23-02-2026,Delivered,C9815,Christopher Olson,India,Alabama,West Robert,P839,door,Home,Furniture,Martin-Santos,5,17450,UPI,Male,37,87250
A10132,14-07-2026,27-05-2026,20-12-2026,Delivered,C4828,Jennifer Robinson,India,New Mexico,New Jeremyport,P620,professor,Electronics,Accessories,Sullivan LLC,4,29887,COD,Male,49,119548
A10133,14-10-2026,26-08-2026,04-02-2026,Delivered,C6361,Eileen Page,India,Ohio,Annland,P963,push,Electronics,Mobile,Burton-Morris,1,16760,COD,Female,20,16760
A10134,02-08-2026,28-04-2026,25-11-2026,Delivered,C8399,Suzanne Rowland DVM,India,Alaska,Diazfurt,P935,and,Electronics,Laptop,Johnson Inc,2,40177,NetBanking,Female,39,80355
A10135,28-06-2026,16-09-2026,09-11-2026,Delivered,C1540,Morgan Morgan,India,Michigan,Johnland,P512,understand,Fashion,Clothing,Stein-Mclaughlin,1,14475,Card,Male,42,14475
A10136,05-02-2026,18-03-2026,24-02-2026,Delivered,C8306,Lisa Ellis,India,Arkansas,South Ryanside,P639,make,Electronics,Laptop,"Black, Barrett and Frank",4,19324,COD,Male,46,77295
A10137,09-03-2026,25-01-2026,18-01-2026,Delivered,C7539,Gina Chambers,India,Ohio,North Jenniferbury,P212,lawyer,Fashion,Footwear,"Collins, Foley and Keller",2,9461,Card,Male,42,18923
A10138,19-05-2026,10-11-2026,11-11-2026,Delivered,C7215,Heidi Bailey,India,Missouri,Jamestown,P456,else,Fashion,Clothing,Richardson Ltd,3,35694,Card,Male,62,107083
